Symbol1	Symbol2	Edge_Sign
Egfr	drk	+
Arpc3B	Arpc5	+
Arpc3B	glob1	-
Su(var)205	Orc1	+
Su(var)205	Orc2	+
CG10154	RpL15	+
N	CG34422	+
N	Su(H)	-
N	O-fut1	+
CG13310	CG6340	-
CG11188	CkIIalpha	-
dm	Ets97D	+
dm	thoc7	-
RpS24	Rpb11	+
RpS24	CycE	+
RpS24	CG4704	-
RpS24	CG6443	+
Bap60	mor	+
Bap60	Nurf-38	+
Bap60	Chc	+
Bap60	CG9331	-
Bap60	CG11505	+
Bap60	CG32479	-
Bap60	Arp8	-
Bap60	CG17002	+
Bap60	Nat1	+
Bap60	akirin	+
Bap60	MED11	-
Bap60	mts	+
Bap60	CG34404	-
Bap60	Bap55	+
Bap60	Thiolase	+
Bap60	CG8368	+
Bap60	RpL13	+
Bap60	Ef1alpha48D	+
ssp3	msd5	-
Pms2	Nsun2	-
Pms2	Alr	+
Pms2	pzg	+
Pms2	CG3532	-
Pms2	CG32138	+
Pms2	comt	-
Pms2	betaCop	-
Pms2	Xrp1	+
Pms2	Tep2	+
Pms2	Cbp80	+
Pms2	CG30118	+
Pms2	CG3618	-
Pms2	trx	+
Pms2	Trn-SR	+
CG33303	Sec61alpha	+
CG2540	HLH54F	-
CG1246	CG2107	-
CG17278	lwr	+
CG6015	CG4849	+
Cand1	CG6370	+
Cand1	Sc2	+
Rbp4	Karybeta3	+
pix	eIF3-S9	+
pix	Trip1	+
pix	eIF3-S8	+
pix	eIF3-S10	+
Sos	cindr	+
Sos	tum	-
Sos	drk	+
Sos	drk	+
Sos	sls	+
Sos	RhoGAP18B	-
Sos	csw	+
Sos	Egfr	+
Sos	Ras85D	+
CG11409	CG34411	+
tmod	SH3PX1	-
tmod	lwr	-
tmod	N	+
Df31	eEF1delta	-
Df31	CG42369	+
Df31	eIF-5A	+
Df31	CG10265	+
Df31	Hen1	+
Df31	Nc	+
Df31	Arf79F	-
Df31	Rae1	+
Df31	CG2852	+
Vsx2	CG31120	+
Vsx2	SC35	+
Vsx2	CG43340	+
Vsx2	sty	+
CG12589	CG34404	+
CG12589	CSN4	-
CG12589	CG17778	+
CG15153	CG9304	+
Aats-glupro	Pp2A-29B	+
Aats-glupro	Rpn1	+
Aats-glupro	CG12304	+
Aats-glupro	betaCop	+
GEFmeso	Kebab	+
GEFmeso	CG8860	-
GEFmeso	wah	-
GEFmeso	ctp	+
Gem3	Rac2	+
cnk	RpL23A	-
cnk	14-3-3zeta	+
cnk	Hsc70-3	-
cnk	RpL37A	-
cnk	14-3-3epsilon	+
cnk	phl	+
cnk	vav	+
cnk	RpL10	-
cnk	raps	-
cnk	RpL24	-
Dll	mnb	-
RfC4	RfC3	+
RfC4	RfC38	+
CG10494	CG7112	+
Lis-1	Arp2	+
Or22a	Ance-2	-
Taf8	Taf5	+
Taf8	Taf4	+
spel1	l(1)G0255	+
Hsc70-3	CG7737	-
Hsc70-3	CG17343	-
CG8564	pygo	+
CG14451	CSN4	+
CaMKII	Arr2	-
CaMKII	CBP	+
kn	E(bx)	-
kn	ttk	+
kn	CG13295	-
Gapdh1	CG10887	+
C901	RpL37a	+
C901	Fas3	+
C901	RpL3	-
Bet3	CG7461	+
Bet3	Bet5	+
Hsp60	CG4949	+
CycH	CG15043	-
CycH	gus	-
CycH	rev7	+
CycH	fry	+
CycH	Npl4	-
CycH	EcR	-
CG43783	CycK	+
CG43783	dimm	+
CG43783	lwr	+
polo	Zn72D	+
polo	pav	+
polo	spen	-
polo	CG14427	-
polo	Rsf1	+
polo	Hsp83	+
polo	dmt	+
polo	CG14442	+
polo	Syp	+
polo	mars	+
polo	Jra	-
polo	CG11107	+
polo	CG3817	+
polo	RpS8	+
polo	disco-r	+
polo	N	+
polo	SmD3	+
polo	CtBP	+
polo	pdm2	+
polo	Fmr1	-
polo	CG3224	+
polo	pic	+
polo	Pros25	+
polo	zormin	+
CG13949	RpL7	+
CG3281	CG7386	-
Atpalpha	CG6370	-
Atpalpha	Sap47	-
wntD	fz2	+
wntD	fz	+
wntD	fz3	+
wntD	fz4	+
CG30415	cv-c	+
CG15167	ps	-
CG15167	CG2199	+
Lim1	CG2129	+
Prosbeta2R2	eIF3-S8	-
Prosbeta2R2	Pros28.1	-
Prosbeta2R2	Prosalpha7	+
Prosbeta2R2	Pomp	+
Prosbeta2R2	Pros26	+
Prosbeta2R2	Rpt1	+
Prosbeta2R2	Prosalpha5	+
Prosbeta2R2	CG17331	+
Prosbeta2R2	Prosbeta1	+
Nek2	pUf68	-
danr	mre11	-
danr	GstS1	-
igl	nwk	-
igl	CG8888	+
igl	CG3344	+
igl	MRG15	+
igl	ND75	+
epsilonTry	baz	+
Cas	Crk	+
Cas	Pen	+
Cas	C3G	+
Cas	nocte	+
Cas	CG34120	+
CG14864	GstO3	+
CG14864	ctp	+
l(1)G0156	Spindly	+
l(1)G0156	bor	+
CG12362	UbcD10	-
Ddr	BI-1	+
Ddr	RpS27A	-
Ddr	CG17470	-
Ddr	RpL27	-
Cks85A	CycC	+
Ald	CG5500	+
Ald	Spindly	+
Ald	TER94	+
Ald	Argk	+
Ald	mus209	+
Ald	CG31343	+
Ald	Fkbp13	+
Ald	awd	-
Ald	up	+
Ald	TpnC41C	+
Ald	CG16826	+
Ald	Eno	+
Ald	wupA	-
Rad51D	mRNA-cap	-
CG9723	coro	-
CG4973	CG7338	+
CG4973	Rtf1	+
CG4973	ball	+
alien	CSN4	+
alien	CSN6	+
fdl	Glycogenin	+
inaD	Drep-4	-
inaD	FKBP59	-
Rpt3	Rpn1	+
Rpt3	Rpt1	+
Rpt3	Rpn11	+
Rpt3	Prosbeta7	+
Rpt3	Rpn9	+
Rpt3	Rpn5	+
Rpt3	Rpn2	+
Rpt3	Pomp	+
Rpt3	Rpn7	+
Rpt3	Pros35	+
Rpt3	CG17331	+
Rpt3	Rpn3	+
Rpt3	Rpn6	+
Rpt3	Pros25	+
Rpt3	Pros29	+
Rpt3	Prosbeta5	+
CG6937	CG31694	+
CG6227	CkIalpha	-
CG6227	Mi-2	-
CG6227	CG11266	+
CG6227	CG6937	+
CG6227	CG10993	+
CG6227	Srp54	+
CG6227	CG11107	-
CG12493	brm	+
CG16908	lqfR	+
CG16908	pont	+
CG16908	rept	+
Grip	fliI	+
wisp	His4r	+
CG13737	nito	-
CG31111	me31B	+
FK506-bp2	eIF-1A	+
FK506-bp2	smt3	+
Tsp42Ef	CG8219	-
CG17108	CG2371	+
CG11885	CalpB	+
CG11885	CG17331	-
CG11885	Pros35	-
CG11885	dl	-
CG11885	Pros29	-
CG32068	CHIP	+
CG32068	CG6945	+
CG32068	Sas	+
CG7394	HP6	+
Zasp52	CG6843	+
Zasp52	Mal-A2	-
Zasp52	RpS3	-
CG3008	Nup358	+
CG3008	CG32479	-
CG3008	TER94	-
Wnt5	fz2	+
Wnt5	drl	+
Wnt5	fz	+
Wnt5	fz3	+
Wnt5	fz4	+
clt	mtd	-
CG18081	CG9780	+
CG7091	CG6370	+
eca	corn	-
CG15220	RPA2	+
CG12679	CG5484	-
CG12679	uzip	-
CG12679	Mst84Dd	+
NT1	yellow-g	-
Pof	Saf-B	-
Pof	me31B	-
CG4936	MED28	+
CG5568	Synd	+
CG14983	Epac	+
fkh	CG4849	+
fkh	CG15529	+
Cda5	Spx	-
Cda5	sns	+
Cda5	CG9624	+
CG30122	SmB	-
CG31958	CG40127	+
CG31958	CG32809	+
Atg7	heph	+
Atg7	Aut1	+
wit	tkv	+
wit	babo	+
wit	sax	+
CG13159	hale	-
CG13159	CG31999	-
CG13159	CG14641	-
CG13159	CG6996	+
CG6617	Mes2	+
sfl	hh	+
p24-1	CG7203	-
Arp2	CG10641	+
Arp2	Arp3	+
CG4709	CG7757	-
CSN4	CG8907	-
CSN4	TER94	+
CSN4	Pros25	+
CSN4	bor	+
CSN4	CSN3	+
CSN4	CSN5	+
MICAL-like	CG5346	-
CG13287	RpL5	-
CG13287	Hsc70-4	-
pyd	rols	+
Rpn6	Rpn5	+
Rpn6	Rpn2	+
Rpn6	Rpn1	+
Rpn6	CG13349	-
Rpn6	CSN4	+
Rpn6	Rpn3	+
Rpn6	CG17331	+
Rpn6	Pros35	+
Rpn6	Pros29	+
Rpn6	Pros25	+
Rpn6	Rpn11	+
Rpn6	Prosbeta7	+
Rpn6	Prosbeta5	+
Rpn6	Rpn9	+
tou	CG6843	+
CG6340	CG8026	+
numb	mira	+
numb	spdo	-
numb	tmod	-
numb	N	-
CG1599	CG9426	-
CG1599	l(1)G0193	+
CG1599	Snap	-
CG1599	AcCoAS	-
MED27	MED7	+
MED27	MED17	+
Arpc2	Arpc3A	+
Ubc-E2H	stck	-
Ubc-E2H	CkIIalpha-i3	+
CG9769	MED6	+
T-cp1	Cct5	+
T-cp1	CG4169	+
T-cp1	Tcp-1eta	+
Es2	CG15071	-
Es2	CG16890	+
Es2	C15	-
Pros29	eIF3-S8	+
Pros29	Int6	+
Pros29	TER94	+
mRpL32	Neto	-
imd	Trip1	-
lambdaTry	baz	+
CG10092	CG4169	-
Ntf-2	CG1707	+
Ntf-2	CG8993	+
Ntf-2	CG6084	+
NC2alpha	Gapdh1	+
Pepck	Tequila	+
ave	cnk	+
hep	snama	+
hep	14-3-3zeta	+
hep	bsk	+
hep	nito	+
hep	eIF4AIII	-
hep	Cka	-
hep	Hsc70-1	-
hep	SmG	+
hep	Trap1	+
hep	nonA-l	-
hep	Atx2	-
hep	CG11266	+
hep	CG3862	-
eIF-5A	CG10638	+
Ip259	CG32344	+
Ip259	l(1)G0020	+
Ip259	CG6937	+
Ip259	CG8939	+
Ip259	Surf6	+
MED20	CG7185	-
MED20	MED4	+
MED20	MED6	+
MED20	MED27	+
MED20	MED10	+
MED20	MED7	+
MED20	MED14	+
MED20	MED17	+
CG17826	RpL18A	+
CG5642	l(1)G0136	-
CG5642	RpS3	+
CG5642	eIF3-S10	+
pallidin	Stam	-
pallidin	CG9418	+
pallidin	Art7	+
14-3-3zeta	Oatp26F	-
14-3-3zeta	yki	+
14-3-3zeta	14-3-3epsilon	+
sinah	CG1965	+
sinah	RpS18	-
sinah	Fer1HCH	-
sinah	CG8929	+
sinah	CG9715	-
sinah	fau	-
sinah	RpL18	-
sinah	CG18004	+
shakB	Mst98Ca	+
shakB	wdb	-
shakB	pUf68	-
CG2685	CG4887	+
Smn	Rac2	+
Smn	CG4849	-
Smn	SmD2	-
CG4955	CG5906	+
plexB	Epac	+
CG10979	crn	+
icln	Neb-cGP	+
RpLP1	RpLP0	+
RpLP1	Rab11	+
neur	Ser	+
neur	Dl	+
sbr	Nxt1	+
dgt4	ATPsyn-gamma	+
dgt4	Ada2b	-
Vha55	nwk	+
Vha55	VhaSFD	+
Vha55	Vha26	+
Vha55	Vha14-1	+
Vha55	cdc2c	-
Vha55	Vha44	+
Vha55	Vha36-1	+
Hsf	Rae1	-
aPKC	Traf-like	+
aPKC	Bap60	-
aPKC	CG11526	-
Rel	ird5	+
vri	slmb	+
l(2)dtl	Invadolysin	+
l(2)dtl	Cct5	+
l(2)dtl	Cctgamma	-
l(2)dtl	pic	-
l(2)dtl	CG7033	+
r-l	RnrS	+
CG15040	CG17331	-
spheroide	Oscillin	-
wds	MBD-R2	+
wds	Cct5	+
wds	Hsc70-1	+
wds	tws	+
wds	CG7033	+
wds	Tcp-1eta	+
Rbp1	gem	+
LanB1	CG3168	+
LanB1	mys	+
wdn	CG6724	-
wdn	Imp	+
wdn	TfIIA-L	+
Tsp	CG14931	-
Tsp	Vsx2	+
Tsp	SKIP	+
gro	H	-
gro	HLHmgamma	-
gro	pan	-
gro	run	-
CSN6	CSN4	+
Max	Mnt	+
term	C15	+
Rca1	olf413	-
Rca1	CG13133	-
Rca1	Syt1	+
Rca1	betaggt-II	-
Rca1	CG14151	-
Rca1	Taf11	+
Rca1	RpS10b	+
Rca1	GstE10	+
e(y)2	xmas-2	+
e(y)2	Pcaf	+
e(y)2	Nipped-A	+
bib	N	+
bib	Dl	+
CG11570	CG9522	+
MBD-R2	Hcf	-
MBD-R2	Ada2a	+
Pi3K68D	CG6370	-
Pi3K68D	Vps4	+
CG18745	Zasp66	-
CG18745	CG7335	-
CG18745	Eaf	-
Dab	N	+
CG7011	Poxm	+
CG7011	dom	-
CG13144	CG32473	+
CG43955	Klc	+
Drs	CG34449	-
unc-13	Cam	+
CG14044	CG14641	+
CG14044	noi	-
CG14044	CG4328	-
CG14044	CG15370	+
vir	CG4502	+
vir	CG7224	+
Myo10A	RpL3	-
CG5787	Hsc70-1	-
CG4365	YL-1	+
Drep-2	Cdlc2	+
Pomp	CG13319	-
Pomp	Pros35	+
Pomp	Pros29	+
Pomp	Pros25	+
Pomp	Prosbeta7	+
Tango7	CG10306	+
Tango7	eIF3-S9	+
Tango7	eIF3-S8	+
Tango7	CG8335	-
Tango7	CG9769	+
Tango7	CG5642	+
Tango7	eIF3-S10	+
Akt1	S6k	+
Akt1	CycK	+
Akt1	th	+
Akt1	gig	-
Akt1	foxo	-
Cpr62Bc	mol	-
Cpr62Bc	CG4962	+
CG15423	sav	+
CG10641	Rae1	+
CG10641	Arpc2	+
CG10641	Arpc3A	+
fax	Ost48	+
fax	Spindly	+
fax	ZnT63C	+
fax	CG4169	+
fax	Nacalpha	+
fax	Tcp-1eta	+
CG4896	RpL14	-
CG4896	Arf79F	-
CG4896	RpS3	-
CG4896	raps	-
CG4896	Plap	+
CG13510	Chd3	+
Mtr3	Dis3	+
Mtr3	Rrp6	+
Mtr3	Rrp46	+
Mtr3	Rrp42	+
bol	CG34354	-
dj	CG11188	-
dj	lwr	-
Bet1	Ykt6	+
Bet1	Vti1	-
vig	CG13472	+
vig	RpS11	-
vig	CG11107	+
Prp8	CG6015	+
Prp8	CG6197	+
Prp8	CG6674	-
Prp8	CG4849	+
Prp8	CG14353	+
Prp8	l(3)72Ab	+
Prp8	CG9667	+
skpA	PGRP-LA	+
skpA	cact	-
skpA	CG7922	+
skpA	TH1	+
skpA	Doa	+
skpA	CG5890	+
skpA	coro	+
skpA	CG13349	+
skpA	e(r)	+
skpA	CG10395	+
skpA	skpB	+
skpA	CG3777	+
skpA	CG7427	-
skpA	slmb	+
skpA	CG4911	+
skpA	CG18273	+
Moe	flr	+
Moe	CG16817	+
Moe	GstO3	+
Moe	e(y)3	-
Moe	TER94	+
Moe	Hsc70Cb	+
Moe	Sec16	+
Moe	CG15099	-
Moe	cib	-
Moe	CG31619	-
Moe	zfh1	+
Moe	GstE6	-
Moe	CG6686	-
Moe	Trxr-1	+
Moe	Prosbeta5	+
aru	CG15479	+
aru	Mkk4	-
dah	CG8247	+
CecA1	Mst98Cb	+
Acon	ATPsyn-d	-
Acon	ATPsyn-b	-
CG11345	CG2972	-
CG13220	RpS8	+
Ilp1	InR	+
Cdk5	CG13510	+
Cdk5	CycE	-
Cdk5	Npl4	+
fd3F	X11L	-
CG31550	LS2	+
CG12655	CG31550	+
CG15127	CG13192	-
CG31688	CG8036	+
CG31688	CG3808	-
CG31688	Snp	+
Rcd5	CG14323	+
Rcd5	MBD-R2	+
Rcd5	Traf-like	+
Rcd5	dgt1	+
Rcd5	esg	-
Rcd5	CG32354	+
Rcd5	pav	+
Cdc27	Aats-lys	-
ND23	CG9140	+
ND23	CG12203	+
Aldh-III	CG11699	+
grk	ImpE1	+
grk	CG6905	-
grk	betaCop	-
grk	Egfr	+
dmGlut	Pp4-19C	-
CG8232	Gpdh	+
CG8232	Gapdh2	-
ncd	Klp61F	-
ncd	lwr	+
ncd	alphaTub84D	+
ncd	msps	+
raw	pix	+
raw	Pk17E	-
raw	Hsc70-4	+
Rsf1	ps	+
Rsf1	CG6724	+
Rsf1	l(3)72Ab	+
Rsf1	SmD2	+
CG6796	SmD2	-
CG5802	MED4	+
cic	gro	-
qsm	Taf12	-
CG4119	CG3542	+
CG4119	pUf68	+
ns2	CG31694	+
ns2	CG10341	-
CG6498	Lig4	+
CG17760	Plc21C	+
CG17760	norpA	+
GABPI	Lin29	+
Gr2a	mus209	-
cdc2	CycK	-
cdc2	CG7033	+
cdc2	Arpc1	-
cdc2	Cct5	+
cdc2	RpL19	+
cdc2	Cks30A	-
cdc2	Orc2	+
cdc2	CycE	+
cdc2	Orc1	+
cdc2	Cctgamma	-
cdc2	wee	-
cdc2	Pros26.4	+
cdc2	Arp2	+
cdc2	CG9821	+
cdc2	Cdk4	+
cdc2	twe	+
cdc2	ATPsyn-d	+
cdc2	CG3925	-
cdc2	Tcp-1zeta	+
dgt2	dgt3	+
CG6770	sec5	-
CG6770	sec71	-
CG6770	MED6	-
CG10638	GstE6	+
CG10638	Pros35	-
CG10638	TER94	-
CG18547	CG7182	+
Adam	cnc	-
TwdlC	MCPH1	-
CG34113	kermit	-
Npc1b	eIF-5A	-
Npc1b	RpS25	+
Sesn	Pp2B-14D	-
Sesn	tna	+
CG17737	eIF3-S8	+
CG10510	bic	+
CG10510	ATPsyn-d	+
cup	aret	+
mib1	Ser	+
mib1	Dl	+
CG17739	Not1	+
CG31751	CG18745	-
CG42674	numb	+
CG42674	Unr	+
CG42674	sar1	+
CG42674	RpS12	-
Pros54	Pros45	+
Pros54	Hsc70Cb	+
Pros54	Pros26.4	+
Pros54	UbcD4	-
Pros54	Nedd8	+
Pros54	RpS27A	+
Pros54	Hsp83	+
Pros54	CG17331	+
Pros54	smt3	+
Pros54	mts	+
CG31357	CG34404	+
CG6171	CG7049	+
Obp56d	CG13928	+
Ir	CG31999	+
CG12106	Lmpt	-
CG5522	14-3-3zeta	+
CG5522	ari-2	+
CG5522	CG9902	-
CG34404	grsm	+
CG34404	RpL23	-
CG34404	RpL36	-
CG34404	Myb	-
dysb	Mnt	+
Cnx99A	Pp2A-29B	+
Cnx99A	CG4169	+
Pp2C1	CG4552	+
CG16812	CG4936	+
